RATE,Role,Seniority,Location,Years,Company,Gender,Union
"60,000 USD annually ",2.5D animator / explainer video animator,Intermediate ,TN USA,6,,Male,
90000.00,2D,senior,Australia,8,,Male,
280£ /day (freelance),2D - 3D Animator,Mid,London,3,Freelance,Male,BECTU
"$75,000 Canadian Dollars",2d (Harmony) Rigging Artist,Senior,Toronto,6,,Male,No
€1500/month,2D (paperless/cutout) animator,Junior plus,Italy,2,,Female,No
"70,000AUD",2D & 3D Mograph,Mid,Australia,44595,,Female,No
£27k,2D & 3D VFX Artist,Mid,London,4,,Female,
"£24,000",2D and 3D Animator,Senior,remote,15,,Male,No
17k,2d animation,Freelance junior,London,3,,Female,No
$99000 AUD,2D Animation,Mid,Sydney,3,,Female,
"33,500 €",2d animation ,Mid,Ireland ,6,,Non Binary,No
98000 USD,2D animation and mograph,Senior,San Francisco,5,Freelance,Male,No
18000€/year,2D animation assistant,Mid,"Barcelona, Spain","4-5, only 2 at current company",Imagic,Female,No :(
"€57,200 gross - cca €41k net",2D Animation Director,Junior,"Dublin, Ireland",6,,Male,no
$20 CAD per hour,2D animation intern,Intern/junior,Ottawa,0,,Female,No
$22.5 CAD /hour,2D Animation Revisionist,N/a,Vancouver BC Canada ,1,n/a,Female,no
"81,000 CAD",2D Animation Sup,Senior,Vancouver,10,Wildbrain ,Male,No
$90k AUD,2D Animation Supervisor,Senior,"Melbourne, Australia ",9 yrs,Princess Bento,Male,No
1750 CAN a week,2D Animation Supervisor,Senior,Toronto,17,,Male,Lol nope
60 000 $can per year,2d animation supervisor,Senior,Montreal,+/- 10 years,Salambo productions,Female,No
21000 MXP,2D Animation Supervisor,Senior,Mexico,5,Mighty,Female,
"€29,950 a Year",2D Animator,Mid,"Dublin, Ireland",6,Boulder Media,Male,No
"€35,000 £29,000 $40,000",2D Animator,Mid,"Dublin, Ireland ",5,Blue-Zoo,Male,No
"£25,000",2D Animator,Junior,London,2,Blue Zoo,Female,No
"68,000 CAD",2D animator,Mid level,"Vancouver, BC",3,Atomic Cartoons,Male,No
$16.00 USD per hour,2D Animator,Junior,"Tyler, TX (remote only)",2,Freelance,Female,No
61k AUD,2D Animator,Junior ,Australia ,3,,Female,
30k€/year,2D animator,Mid,E.U,6,,Female,
"52,000 AUD",2d animator,,Australia,1,,,
"55,000 cad",2d animator,,Vancouver,4,,Female,
CAD $900/week ,2D Animator,Junior ,Vancouver,0,Yeti Farm Creative ,Non Binary,No
$70000 AUD (before tax),2D Animator,Mid-Level,"Sydney, Australia",3 years,Prefer not to say,Female,no
"60,000 AUD",2D Animator,Junior,"Sydney, Australia",1,,Female,No :(
1100 weekly,2D Animator,Mid,Toronto,3,,Female,no
"£22,000",2D animator,mid,UK,3,,Female,no
$1220CAD a week,2D Animator,Mid,Vancouver,4,Wild Brain,Female,nope
